1,1808001,HEAD OFFICE,BRAVO SATRIA PERKASA,Jl. Dewi Sartika No. 4a-c Cililitan Jakarta Timur,,,PERMANENT,1
2,1808002,HEAD OFFICE,"KOPERASI SECURITY ""BSP""",Jl. Dewi Sartika No. 4a-c Cililitan Jakarta Timur,,,PERMANENT,1
3,1808003,AREA JAWA I,ASURANSI JIWA SEQUIS LIFE ,"Gedung Sequis Center, Lantai 6 Jl. Jendral Sudirman No. 71, Jaksel 12190",1-Jan-19,31-Dec-19,AKTIF,1
4,1808004,AREA JAWA I,AUTOTECH INDONESIA ,Bungursari-Purwakarta,1-Nov-19,31-Oct-20,AKTIF,1
5,1808005,AREA JAWA I,BARKUN CITRA NUSANTARA,"Gedung Kantor Taman A9 Unit B Lantai 5 Kawasan Mega Kuningan, Jakarta",1-Sep-19,31-Aug-20,AKTIF,1
6,1808006,AREA JAWA I,BHINNEKA MENTARI DIMENSI,"Jl. Lurah No. 51a, Cluster Villa Park A8 Pondok Benda, Pamulang-Tangsel",5-May-20,4-May-21,AKTIF,1
7,1808007,AREA JAWA I,BUMIARTHA PURNAKREASI,Jl. Holis No. 432 Bandung,15-May-20,15-Aug-20,AKTIF,1
8,1808008,AREA JAWA I,CV SEMANGAT JAYA (TOKO SEDERHANA),"Jalan Raya Rengasdengklok No. 23, Karawang Jawa Barat",11-May-20,10-Nov-20,AKTIF,1
9,1808009,AREA JAWA I,DJARUM,Gedung Sopo Del,2-Jan-20,1-Jan-21,AKTIF,1
10,1808010,AREA JAWA I,DICKY METALS,"Jl. Raya Bekasi KM 27 Pondok Ungu, Desa Harapan Jaya, Bekasi Utara 17124",1-Aug-20,31-Dec-20,AKTIF,1
11,1808011,AREA JAWA I,DIRGANTARA INDONESIA ,Bandung ,1-Jan-20,31-Dec-20,AKTIF,1
12,1808012,AREA JAWA I,DIRGANTARA INDONESIA  (UNTUK FLAT SARIJADI),Bandung ,1-Jul-20,30-Sep-20,AKTIF,1
13,1808013,AREA JAWA I,EXERTAINMENT ,Margo City,1-Jan-19,30-Jun-19,BERAKHIR,1
14,1808014,AREA JAWA I,FAASRI UTAMA SAKTI,"Jalan Raya Pajajaran No. 17 RT06 RW 13, Kel. Baranangsiang, Kec. Bogor",1-Feb-20,1-Feb-21,AKTIF,1
15,1808015,AREA JAWA I,KEDIAMAN IBU FERMIYANTI,"Jalan Grinting III No. 4 Kebayoran Baru, Jakarta Selatan",23-Oct-19,23-Jan-20,AKTIF,1
16,1808016,AREA JAWA I,FUMAKILLA INDONESIA ,Jl. Maligi Raya Lot Q-3 KIIC Karawang-Jawa Barat,11-Jan-19,10-Jan-20,AKTIF,1
17,1808017,AREA JAWA I,HAKUHUDO INDONESIA,"Jalan Prapanca Raya No. 39 Kelurahan Pulo, Kecamatan Kebayoran Baru Jakarta Selatan 12160",1-Aug-19,31-Aug-22,AKTIF,1
